query,function,identifier,url,score
string to date,"public static String dateToStr(Date date, String format) {
        return new SimpleDateFormat(format).format(date);
    }",DateUtils.dateToStr,https://github.com/alipay/sofa-rpc/blob/a31406410291e56696185a29c3ba4bd1f54488fd/core/common/src/main/java/com/alipay/sofa/rpc/common/utils/DateUtils.java#L93-L95,1.2919565
string to date,"public static String dateToString(Date datetime, String format) {
    SimpleDateFormat fmt = new SimpleDateFormat(format);
    return fmt.format(datetime);
  }",Utils.dateToString,https://github.com/apache/incubator-gobblin/blob/f029b4c0fea0fe4aa62f36dda2512344ff708bae/gobblin-core/src/main/java/org/apache/gobblin/source/extractor/utils/Utils.java#L169-L172,1.2913665
string to date,"public static Date strToDate(String dateStr, String format) throws ParseException {
        return new SimpleDateFormat(format).parse(dateStr);
    }",DateUtils.strToDate,https://github.com/alipay/sofa-rpc/blob/a31406410291e56696185a29c3ba4bd1f54488fd/core/common/src/main/java/com/alipay/sofa/rpc/common/utils/DateUtils.java#L126-L128,1.2902975
string to date,"private static String dateStr(Date date) {
		SimpleDateFormat format = new SimpleDateFormat(""yyyyMMdd"");
		return format.format(date);
	}",RedisExecutionDAO.dateStr,https://github.com/Netflix/conductor/blob/78fae0ed9ddea22891f9eebb96a2ec0b2783dca0/redis-persistence/src/main/java/com/netflix/conductor/dao/dynomite/RedisExecutionDAO.java#L547-L550,1.2893643
string to date,"protected final String fromDate(Date value)
    {
        return DateTimeFormat.getFormat(DateTimeFormat.PredefinedFormat.DATE_FULL).format(value);
    }",DataTableColumn.fromDate,https://github.com/ahome-it/lienzo-charts/blob/4237150a5758265eb19ce5b45e50b54fe0168616/src/main/java/com/ait/lienzo/charts/client/core/model/DataTableColumn.java#L213-L216,1.2877047
string to date,"public String dateToString(Date date, String inputFormat) {
		return FastDateFormat.getInstance(inputFormat).format(date);
    }",DateContext.dateToString,https://github.com/teatrove/teatrove/blob/7039bdd4da6817ff8c737f7e4e07bac7e3ad8bea/teaapps/src/main/java/org/teatrove/teaapps/contexts/DateContext.java#L396-L398,1.2873433
string to date,"private static String dateStr(Long timeInMs) {
		Date date = new Date(timeInMs);
		return dateStr(date);
	}",RedisExecutionDAO.dateStr,https://github.com/Netflix/conductor/blob/78fae0ed9ddea22891f9eebb96a2ec0b2783dca0/redis-persistence/src/main/java/com/netflix/conductor/dao/dynomite/RedisExecutionDAO.java#L542-L545,1.2859098
string to date,"public static Date parseDate(String str, String... parsePatterns) throws ParseException {
        return parseDate(str, null, parsePatterns);
    }",DateUtils.parseDate,https://github.com/pressgang-ccms/PressGangCCMSCommonUtilities/blob/5ebf5ed30a94c34c33f4708caa04a8da99cbb15c/src/main/java/org/jboss/pressgang/ccms/utils/common/DateUtils.java#L49-L51,1.285556
string to date,"static public String getDateAsString(
      Date date, SnowflakeDateTimeFormat dateFormatter)
  {
    return dateFormatter.format(date, timeZoneUTC);
  }",ResultUtil.getDateAsString,https://github.com/snowflakedb/snowflake-jdbc/blob/98567b5a57753f29d51446809640b969a099658f/src/main/java/net/snowflake/client/core/ResultUtil.java#L854-L858,1.2848216
string to date,"protected String dateToString(LocalDate localDate, String format) {
        return localDate == null ? ""----------"" : localDate.toString(format);
    }",AbstractInterval.dateToString,https://github.com/incodehq-legacy/incode-module-base/blob/8dfbf946c26423adf6d3e751698968b035c4ef11/dom/src/main/java/org/incode/module/base/dom/valuetypes/AbstractInterval.java#L179-L181,1.2845048
sort string list,"public void sortList(List<?> list, String property, boolean reverse) {
        sort(list, property, reverse);
    }",SortContext.sortList,https://github.com/teatrove/teatrove/blob/7039bdd4da6817ff8c737f7e4e07bac7e3ad8bea/teaapps/src/main/java/org/teatrove/teaapps/contexts/SortContext.java#L623-L625,1.1983823
sort string list,"@Override
	public List<String> sort(final String key, final SortingParams sortingParameters) {
		return client.sort(key, sortingParameters);
	}",MockJedisCluster.sort,https://github.com/50onRed/mock-jedis/blob/f593d90282772c5820a576c77f28bf0cec6e3be4/src/main/java/com/fiftyonred/mock_jedis/MockJedisCluster.java#L357-L360,1.1980625
sort string list,"public static String sort(String list, String sortType, String sortOrder, String delimiter) throws PageException {
	return _sort(toStringArray(listToArray(list, delimiter)), sortType, sortOrder, delimiter);
    }",ListUtil.sort,https://github.com/lucee/Lucee/blob/29b153fc4e126e5edb97da937f2ee2e231b87593/core/src/main/java/lucee/runtime/type/util/ListUtil.java#L1157-L1159,1.197998
sort string list,"@Override
	public List<String> sort(String key, SortingParams sortingParameters) {

		return jedis.sort(key, sortingParameters);
	}",Jedis.sort,https://github.com/tanhaichao/leopard-data/blob/2fae872f34f68ca6a23bcfe4554d47821b503281/leopard-redis/src/main/java/io/leopard/jedis/Jedis.java#L537-L541,1.1975797
sort string list,"private List<String> sort(final Set<String> set) {
        final List<String> sorted = new ArrayList<>(set);
        Collections.sort(sorted);
        return sorted;
    }",DelayConrefUtils.sort,https://github.com/dita-ot/dita-ot/blob/ea776b3c60c03d9f033b6f7ea072349e49dbcdd2/src/main/java/org/dita/dost/util/DelayConrefUtils.java#L330-L334,1.197396
sort string list,"public void sortList(List<?> list, String[] properties, boolean[] reverse) {
        sort(list, properties, reverse);
    }",SortContext.sortList,https://github.com/teatrove/teatrove/blob/7039bdd4da6817ff8c737f7e4e07bac7e3ad8bea/teaapps/src/main/java/org/teatrove/teaapps/contexts/SortContext.java#L643-L645,1.195698
sort string list,"public List<String> getSortBy()
  {
    if( sortBy == null )
      return sortBy = new ArrayList<String>();

    return new ArrayList<String>( sortBy );
  }",QueryOptions.getSortBy,https://github.com/Backendless/Android-SDK/blob/3af1e9a378f19d890db28a833f7fc8595b924cc3/src/com/backendless/persistence/QueryOptions.java#L71-L77,1.1946778
sort string list,"@Override
	public List<String> sort(String key, SortingParams sortingParameters) {
		return this.getRedis(key).sort(key, sortingParameters);
	}",RedisHashImpl.sort,https://github.com/tanhaichao/leopard-data/blob/2fae872f34f68ca6a23bcfe4554d47821b503281/leopard-redis/src/main/java/io/leopard/redis/RedisHashImpl.java#L473-L476,1.1944661
sort string list,"@Override
	public List<String> sort(String key) {
		return this.getRedis(key).sort(key);
	}",RedisHashImpl.sort,https://github.com/tanhaichao/leopard-data/blob/2fae872f34f68ca6a23bcfe4554d47821b503281/leopard-redis/src/main/java/io/leopard/redis/RedisHashImpl.java#L468-L471,1.1939185
sort string list,"public void sortList(List<?> list, String property, String reverse) {
        sort(list, property, Boolean.parseBoolean(reverse));
    }",SortContext.sortList,https://github.com/teatrove/teatrove/blob/7039bdd4da6817ff8c737f7e4e07bac7e3ad8bea/teaapps/src/main/java/org/teatrove/teaapps/contexts/SortContext.java#L633-L635,1.1937863
save list to file,"public static boolean saveToFile(int type, Collection<?> list, String file) {
    return saveToFile(type, list, new File(file));
  }",MyStringUtils.saveToFile,https://github.com/brunocvcunha/inutils4j/blob/223c4443c2cee662576ce644e552588fa114aa94/src/main/java/org/brunocvcunha/inutils4j/MyStringUtils.java#L666-L668,1.331993
save list to file,"public static MatlabFile save(byte[] content, Path file)
            throws IOException {
        return new MatlabFile(content).save(file);
    }",MatlabFile.save,https://github.com/52North/matlab-connector/blob/f00089cb535776c8cf973fcfaa0c5c3e1045afbf/common/src/main/java/org/n52/matlab/connector/value/MatlabFile.java#L156-L159,1.3312732
save list to file,"public static File save(File file, Object data) throws IOException {
        return save(file, data, ResourceFileType.fromFile(file));
    }",ResourceUtil.save,https://github.com/fabric8io/fabric8-maven-plugin/blob/b0e7ad860a5bbe4ab71be3d0613862a1f14a8be3/core/src/main/java/io/fabric8/maven/core/util/ResourceUtil.java#L62-L64,1.329111
save list to file,"public static void save(String filename, byte[] content, int retries) {
		writeToFile(filename, content, false, retries);
	}",IO.save,https://github.com/rapidoid/rapidoid/blob/1775344bcf4abbee289d474b34d553ff6bc821b0/rapidoid-commons/src/main/java/org/rapidoid/io/IO.java#L250-L252,1.3285094
save list to file,"public static void saveFile(String path, String content, boolean append) throws IOException {
        saveFile(new File(path), content, append);
    }",FileExecutor.saveFile,https://github.com/code4everything/util/blob/1fc9f0ead1108f4d7208ba7c000df4244f708418/src/main/java/com/zhazhapan/util/FileExecutor.java#L883-L885,1.3275254
save list to file,"public static void saveFile(File file, String content) throws IOException {
        saveFile(file, content, false);
    }",FileExecutor.saveFile,https://github.com/code4everything/util/blob/1fc9f0ead1108f4d7208ba7c000df4244f708418/src/main/java/com/zhazhapan/util/FileExecutor.java#L895-L897,1.3256334
save list to file,"public void save(File file) throws IOException {
        try (FileOutputStream out = new FileOutputStream(file)) {
            save(out);
        }
    }",XElement.save,https://github.com/akarnokd/akarnokd-xml/blob/57466a5a9cb455a13d7121557c165287b31ee870/src/main/java/hu/akarnokd/xml/XElement.java#L643-L647,1.3251317
save list to file,"public void save(File file) throws IOException {
        try (FileOutputStream fout = new FileOutputStream(file)) {
            save(fout);
        }
    }",XNElement.save,https://github.com/akarnokd/akarnokd-xml/blob/57466a5a9cb455a13d7121557c165287b31ee870/src/main/java/hu/akarnokd/xml/XNElement.java#L1037-L1041,1.324677
save list to file,"public void save(File file) {
        try {
            ImageIO.write(image, ""png"", file);
        } catch (IOException e) {
            e.printStackTrace();
        }
    }",CBImage.save,https://github.com/androiddevelop/CommonBase/blob/9528eb3a040177596a3f131fa958a94c63614fc4/src/main/java/me/codeboy/common/base/io/CBImage.java#L92-L98,1.324666
save list to file,"public void saveFile(byte[] bytes, String name, String extension) {
		context.saveFile(bytes, getEventFileName(name), extension);
	}",SebEvent.saveFile,https://github.com/etnetera/seb/blob/6aed29c7726db12f440c60cfd253de229064ed04/src/main/java/cz/etnetera/seb/event/SebEvent.java#L109-L111,1.3242291
postgresql connection,"protected void customizeConnection(String pathInContext, String pathParams, HttpRequest request, URLConnection connection) throws IOException
    {
    }",ProxyHandler.customizeConnection,https://github.com/webmetrics/browsermob-proxy/blob/a9252e62246ac33d55d51b993ba1159404e7d389/src/main/java/org/browsermob/proxy/jetty/http/handler/ProxyHandler.java#L539-L541,1.056415
postgresql connection,"@Override
    public boolean isConnected() {
        return (conn != null && conn.getNatsConnection() != null && conn.getNatsConnection().isConnected());
    }",NATSStreamObservableQueue.isConnected,https://github.com/Netflix/conductor/blob/78fae0ed9ddea22891f9eebb96a2ec0b2783dca0/contribs/src/main/java/com/netflix/conductor/contribs/queue/nats/NATSStreamObservableQueue.java#L52-L55,1.0553144
postgresql connection,"@Override
    public Connection getConnection() {

        SessionImpl session =  (SessionImpl)entityManager.unwrap(Session.class);

        return session.connection();
    }",JpaHibernateConnectionProvider.getConnection,https://github.com/javers/javers/blob/a51511be7d8bcee3e1812db8b7e69a45330b4e14/javers-spring-jpa/src/main/java/org/javers/spring/jpa/JpaHibernateConnectionProvider.java#L19-L25,1.0552808
postgresql connection,"@Override
    public void initConnectionFromConfig(final ConnectionConfig connectionConfig) {
        setConnectionHolder(new ConnectionHolder() {
            @Override
            public Connection getConnection() {
                return getConnectionFromConfig(connectionConfig);
            }
        });
    }",DataSetExecutorImpl.initConnectionFromConfig,https://github.com/database-rider/database-rider/blob/7545cc31118df9cfef3f89e27223b433a24fb5dd/rider-core/src/main/java/com/github/database/rider/core/dataset/DataSetExecutorImpl.java#L478-L486,1.054998
postgresql connection,"public void connect() throws Exception {
        if (connection != null && !connection.isConnected()) {
            connection.connect();
            transaction = connection.getModbusTransport().createTransaction();
            setTransaction(transaction);
        }
    }",ModbusUDPMaster.connect,https://github.com/steveohara/j2mod/blob/67162c55d7c02564e50211a9df06b8314953b5f2/src/main/java/com/ghgande/j2mod/modbus/facade/ModbusUDPMaster.java#L90-L96,1.0549127
postgresql connection,"public boolean containsConnection(final WiresConnection connection)
    {
        if ((null != m_connections) && (null != connection))
        {
            return m_connections.contains(connection);
        }
        return false;
    }",WiresMagnet.containsConnection,https://github.com/ahome-it/lienzo-core/blob/8e03723700dec366f77064d12fb8676d8cd6be99/src/main/java/com/ait/lienzo/client/core/shape/wires/WiresMagnet.java#L193-L200,1.0546076
postgresql connection,"@Override
    public Connection getConnection() throws SQLException {
        PooledConnection connection = dataSource.getPooledConnection();
        return connection.getConnection();
    }",PooledConnectionProvider.getConnection,https://github.com/requery/requery/blob/3070590c2ef76bb7062570bf9df03cd482db024a/requery/src/main/java/io/requery/sql/PooledConnectionProvider.java#L34-L38,1.0545335
postgresql connection,"Connection getConnection() {
		Connection connection = threadLocalTransactionConnection.get();
		if (connection != null) {
			return connection;
		} else {
			connection = getAutoCommitConnection();
			return connection;
		}
	}",SqlRepository.getConnection,https://github.com/BrunoEberhard/minimal-j/blob/f7c5461b2b47a10b383aee1e2f1f150f6773703b/src/main/java/org/minimalj/repository/sql/SqlRepository.java#L229-L237,1.0544477
postgresql connection,"protected void channelDisconnect()
    {
        final Channel channel = channelHolder.getAndSet(null);

        disconnectCallback(channel);

        AmqpUtils.closeQuietly(channel);

        final Connection connection = connectionHolder.getAndSet(null);
        AmqpUtils.closeQuietly(connection);
    }",AbstractAmqpRunnable.channelDisconnect,https://github.com/NessComputing/components-ness-amqp/blob/3d36b0b71d975f943efb3c181a16c72d46892922/src/main/java/com/nesscomputing/amqp/AbstractAmqpRunnable.java#L145-L155,1.0543331
postgresql connection,"void finishConnect() {
		Socket socket = socketChannel.socket();
		InetSocketAddress local = (InetSocketAddress) socket.getLocalSocketAddress();
		InetSocketAddress remote = (InetSocketAddress) socket.getRemoteSocketAddress();
		connection.onConnect(new ConnectionSession(local, remote));
	}",Client.finishConnect,https://github.com/xqbase/tuna/blob/60d05a9e03877a3daafe9de83dc4427c6cbb9995/core/src/main/java/com/xqbase/tuna/ConnectorImpl.java#L176-L181,1.0543256
confusion matrix,"public static Matrix project(Matrix m, MatrixFile affinityMatrix,
                                 int dimensions) {        
        try {
            return execute(m, affinityMatrix, dimensions);
        } catch (IOException ioe) {
            throw new IOError(ioe);
        }        
    }",LocalityPreservingProjection.project,https://github.com/fozziethebeat/S-Space/blob/a608102737dfd3d59038a9ead33fe60356bc6029/src/main/java/edu/ucla/sspace/matrix/LocalityPreservingProjection.java#L295-L302,1.1275765
confusion matrix,"public Vector3i project(double x, double y, double z) {
        return project(GenericMath.floor(x), GenericMath.floor(y), GenericMath.floor(z));
    }",Vector3i.project,https://github.com/flow/math/blob/12c1a809720aced976ed22de34fb1457d8eda78f/target/generated-sources/template/com/flowpowered/math/vector/Vector3i.java#L158-L160,1.1263791
confusion matrix,"public SDVariable confusionMatrix(SDVariable labels, SDVariable predictions) {
        return confusionMatrix((String) null, labels, predictions);
    }",SDMath.confusionMatrix,https://github.com/deeplearning4j/deeplearning4j/blob/effce52f2afd7eeb53c5bcca699fcd90bd06822f/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/ops/SDMath.java#L472-L474,1.1258552
confusion matrix,"public Vector3i project(Vector3i v) {
        return project(v.x, v.y, v.z);
    }",Vector3i.project,https://github.com/flow/math/blob/12c1a809720aced976ed22de34fb1457d8eda78f/target/generated-sources/template/com/flowpowered/math/vector/Vector3i.java#L154-L156,1.1252484
confusion matrix,"public SDVariable confusionMatrix(SDVariable labels, SDVariable pred, SDVariable weights) {
        return confusionMatrix(null, labels, pred, weights);
    }",SDMath.confusionMatrix,https://github.com/deeplearning4j/deeplearning4j/blob/effce52f2afd7eeb53c5bcca699fcd90bd06822f/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/ops/SDMath.java#L532-L534,1.1249335
confusion matrix,"private double deviation(double[] delta, double[][] beta) {
    final double a = squareSum(delta);
    final double b = squareSum(transposeTimes(beta, delta));

    return (a > b) ? FastMath.sqrt(a - b) : 0.;
  }",LMCLUS.deviation,https://github.com/elki-project/elki/blob/b54673327e76198ecd4c8a2a901021f1a9174498/elki-clustering/src/main/java/de/lmu/ifi/dbs/elki/algorithm/clustering/correlation/LMCLUS.java#L247-L252,1.1248583
confusion matrix,"@Override
  public Deployment undeployJob(String host, JobId jobId)
      throws HostNotFoundException, JobNotDeployedException {
    try {
      return undeployJob(host, jobId, Job.EMPTY_TOKEN);
    } catch (TokenVerificationException e) {
      throw new RuntimeException(e);
    }
  }",ZooKeeperMasterModel.undeployJob,https://github.com/spotify/helios/blob/c9000bc1d6908651570be8b057d4981bba4df5b4/helios-services/src/main/java/com/spotify/helios/master/ZooKeeperMasterModel.java#L1917-L1925,1.1239316
confusion matrix,"public SDVariable confusionMatrix(String name, SDVariable labels, SDVariable pred) {
        return confusionMatrix(name, labels, pred, ConfusionMatrix.DEFAULT_DTYPE);
    }",SDMath.confusionMatrix,https://github.com/deeplearning4j/deeplearning4j/blob/effce52f2afd7eeb53c5bcca699fcd90bd06822f/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/ops/SDMath.java#L476-L478,1.1234995
confusion matrix,"public SDVariable confusionMatrix(SDVariable labels, SDVariable pred, Integer numClasses, SDVariable weights) {
        return confusionMatrix(null, labels, pred, numClasses, weights);
    }",SDMath.confusionMatrix,https://github.com/deeplearning4j/deeplearning4j/blob/effce52f2afd7eeb53c5bcca699fcd90bd06822f/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/ops/SDMath.java#L562-L564,1.1232504
confusion matrix,"public SDVariable confusionMatrix(SDVariable labels, SDVariable pred, DataType dataType) {
        return new ConfusionMatrix(sameDiff(), labels, pred, dataType).outputVariable();
    }",DifferentialFunctionFactory.confusionMatrix,https://github.com/deeplearning4j/deeplearning4j/blob/effce52f2afd7eeb53c5bcca699fcd90bd06822f/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunctionFactory.java#L1191-L1193,1.1232107
set working directory,"public void setWorkingDirectory(Path dir) throws IOException {
    ensureState(JobState.DEFINE);
    conf.setWorkingDirectory(dir);
  }",Job.setWorkingDirectory,https://github.com/facebookarchive/hadoop-20/blob/2a29bc6ecf30edb1ad8dbde32aa49a317b4d44f4/src/mapred/org/apache/hadoop/mapreduce/Job.java#L91-L94,1.3178967
set working directory,"public void setWorkingDirectory(File dir) {
        if (!dir.exists()) {
            throw new IllegalArgumentException(dir + "" doesn't exist."");
        }
        pb.directory(dir);
    }",Processes1.setWorkingDirectory,https://github.com/TheHortonMachine/hortonmachine/blob/d2b436bbdf951dc1fda56096a42dbc0eae4d35a5/gears/src/main/java/oms3/util/Processes1.java#L82-L87,1.3175118
set working directory,"@Override
  public void setWorkingDirectory(Path new_dir) {
    LOG.debug(""set working directory: {}"", new_dir.toString());
    storageClient.setWorkingDirectory(new_dir);
  }",ObjectStoreFileSystem.setWorkingDirectory,https://github.com/CODAIT/stocator/blob/35969cadd2e8faa6fdac45e8bec1799fdd3d8299/src/main/java/com/ibm/stocator/fs/ObjectStoreFileSystem.java#L407-L411,1.3155688
set working directory,"public void setWorkingDirectory(String path) {
        if (path != null) {
            File dir = new File(path);
            checkWorkingDir(dir);
            workingDir = dir;
        } else {
            workingDir = null;
        }
    }",CommandLine.setWorkingDirectory,https://github.com/gocd/gocd/blob/59a8480e23d6c06de39127635108dff57603cb71/commandline/src/main/java/com/thoughtworks/go/util/command/CommandLine.java#L232-L240,1.3148366
set working directory,"@Override
  public void setWorkingDirectory(Path path) {
    LOG.debug(""setWorkingDirectory({})"", path);
    if (path.isAbsolute()) {
      mWorkingDir = path;
    } else {
      mWorkingDir = new Path(mWorkingDir, path);
    }
  }",AbstractFileSystem.setWorkingDirectory,https://github.com/Alluxio/alluxio/blob/af38cf3ab44613355b18217a3a4d961f8fec3a10/core/client/hdfs/src/main/java/alluxio/hadoop/AbstractFileSystem.java#L716-L724,1.3101678
