query,function,identifier,url,score
string to date,"def str_to_datetime(dt_str, fmt='%Y-%m-%d %H:%M:%S'):
    """"""
    字符串转换为datetime类型数据
    :param dt_str:
    :param fmt:
    :return:
    """"""
    d_time = datetime.datetime.strptime(dt_str, fmt)
    return d_time",str_to_datetime,https://github.com/ytjia/utils-py/blob/68039b367e2e38fdecf234ecc625406b9e203ec0/utils_py/time_util.py#L23-L31,1.1729053
sort string list,"def sort(self, lst, lo=None, hi=None):
        lo = 0 if lo is None else lo
        hi = (len(lst) - 1) if hi is None else hi
        if lo < hi:
            s = self._split(lst, lo, hi)
            self.sort(lst, lo, s - 1)
            self.sort(lst, s, hi)
            self._join(lst, lo, s, hi)",SorterTemplate.sort,https://github.com/helixyte/everest/blob/70c9b93c3061db5cb62428349d18b8fb8566411b/everest/querying/ordering.py#L50-L57,1.1495492
sort string list,"def natsort(string):
    '''按照语言里的意义对字符串进行排序.

    这个方法用于替换按照字符编码顺序对字符串进行排序.
    相关链接:
    http://stackoverflow.com/questions/2545532/python-analog-of-natsort-function-sort-a-list-using-a-natural-order-algorithm
    http://www.codinghorror.com/blog/2007/12/sorting-for-humans-natural-sort-order.html
    '''
    return [int(s) if s.isdigit() else s for s in re.split('(\d+)', string)]",natsort,https://github.com/XuShaohua/bcloud/blob/4b54e0fdccf2b3013285fef05c97354cfa31697b/bcloud/util.py#L140-L148,1.1482466
sort string list,"def natural_sort(list_to_sort: Iterable[str]) -> List[str]:
    """"""
    Sorts a list of strings case insensitively as well as numerically.

    For example: ['a1', 'A2', 'a3', 'A11', 'a22']

    To sort a list in place, don't call this method, which makes a copy. Instead, do this:

    my_list.sort(key=natural_keys)

    :param list_to_sort: the list being sorted
    :return: the list sorted naturally
    """"""
    return sorted(list_to_sort, key=natural_keys)",natural_sort,https://github.com/python-cmd2/cmd2/blob/b22c0bd891ed08c8b09df56df9d91f48166a5e2a/cmd2/utils.py#L249-L262,1.1444888
sort string list,"def _find_phoneme_in_arphabet_list(self, phoneme_string, arphabet_list):
        temp_phoneme = None
        for arphabet in arphabet_list:
            temp_phoneme = arphabet.get(phoneme_string, None)
            if temp_phoneme:
                break
        return temp_phoneme",PhoneticAlphabet2ARPAbetConvertor._find_phoneme_in_arphabet_list,https://github.com/chdzq/ARPAbetAndIPAConvertor/blob/e8b2fdbb5b7134c4f779f4d6dcd5dc30979a0a26/arpabetandipaconvertor/phoneticarphabet2arpabet.py#L57-L63,1.1435608
sort string list,"def sortby(self, *sorts):
        for sort in sorts:
            if sort is False:
                self._sortby = []
            elif sort not in self._sortby:
                self._sortby.append(sort)",Query.sortby,https://github.com/stevepeak/inquiry/blob/f6ea435c302560ba19985b5d4ce2c97e2f321508/inquiry/query.py#L76-L81,1.1418846
sort string list,"def sort(self, strings):
    return sorted(strings, key=lambda str: SequenceMatcher(a=self._base_str, b=str).ratio(),
      reverse=True)",StringSimilarityRanker.sort,https://github.com/pantsbuild/pants/blob/b72e650da0df685824ffdcc71988b8c282d0962d/src/python/pants/backend/jvm/tasks/jvm_compile/missing_dependency_finder.py#L87-L89,1.1417617
sort string list,"def sort(self, boolean):
        self._sort = boolean
        if self._sort:
            self.sort_index()",Series.sort,https://github.com/rsheftel/raccoon/blob/e5c4b5fb933b51f33aff11e8168c39790e9a7c75/raccoon/series.py#L413-L416,1.1404268
sort string list,"def sort(self, reverse=False):
        self.rolls = sorted(self.rolls, reverse=reverse)",RollList.sort,https://github.com/StarlitGhost/pyhedrals/blob/74b3a48ecc2b73a27ded913e4152273cd5ba9cc7/pyhedrals/pyhedrals.py#L59-L60,1.140369
sort string list,"def sort(records: Sequence[Record]) -> List[Record]:
    ""Sort records into a canonical order, suitable for comparison.""
    return sorted(records, key=_record_key)",sort,https://github.com/larsyencken/csvdiff/blob/163dd9da676a8e5f926a935803726340261f03ae/csvdiff/records.py#L86-L88,1.14024
sort string list,"def sort(self):
        for stream in self._streams:
            stream.sort()
        self._streams.sort(key=lambda s: self._stream_key(s))",CompositeEventStream.sort,https://github.com/hyperledger/indy-plenum/blob/dcd144e238af7f17a869ffc9412f13dc488b7020/plenum/simulation/sim_event_stream.py#L128-L131,1.1399827
save list to file,"def save(self, filename):
        if self.timestamp:
            filename = self.timestamp_filename(filename)

        self.sort_worksheets()

        self.workbook.save(filename)

        return filename",TemplatedWorkbook.save,https://github.com/SverkerSbrg/openpyxl-templates/blob/59ff897c7667272e508faedef05a0b89847b2d2b/openpyxl_templates/templated_workbook.py#L97-L105,1.3200152
save list to file,"def save(self):
        '''Save current property list representation to the original file.'''
        with open(self.filename, 'w') as plist_file:
            plist_file.write(str(self.soup))",DoxygenPropertyList.save,https://github.com/vedvyas/doxytag2zealdb/blob/8b07a88af6794248f8cfdabb0fda9dd61c777127/doxytag2zealdb/propertylist.py#L112-L115,1.3184923
save list to file,"def save_list(self, items):
        with open(self.fname, 'w') as f:
            for item in items:
                f.write('{item}\n'.format(item=item))",file.save_list,https://github.com/instagrambot/instabot/blob/d734f892ac4cc35d22746a4f2680425ffaff0927/instabot/utils.py#L59-L62,1.3183736
save list to file,"def _save_file(file, to, contents, overwrite=False):
    format_manager().save(file, contents, name=to, overwrite=overwrite)",_save_file,https://github.com/rossant/ipymd/blob/d87c9ebc59d67fe78b0139ee00e0e5307682e303/ipymd/core/scripts.py#L100-L101,1.317043
save list to file,"def _save_junit(self):
        """"""
        Save Junit report.

        :return: Nothing
        """"""
        report = ReportJunit(self)
        file_name = report.get_latest_filename(""result.junit.xml"", """")
        report.generate(file_name)

        file_name = report.get_latest_filename(""junit.xml"", ""../"")
        report.generate(file_name)",ResultList._save_junit,https://github.com/ARMmbed/icetea/blob/b2b97ac607429830cf7d62dae2e3903692c7c778/icetea_lib/ResultList.py#L79-L90,1.3121996
save list to file,"def save_as(self, new_filename):
        """"""
        Save our file with the name provided.

        Args:
            new_filename:  New name for the workbook file. String.

        Returns:
            Nothing.

        """"""
        xfile._save_file(
            self._filename, self._workbookTree, new_filename)",Workbook.save_as,https://github.com/tableau/document-api-python/blob/9097a5b351622c5dd2653fa94624bc012316d8a4/tableaudocumentapi/workbook.py#L60-L72,1.3106368
save list to file,"def archive(self, commit=True):
        self.archived = True
        if commit:
            self.save()",RecurringCost.archive,https://github.com/adamcharnock/swiftwind/blob/72c715800841c3b2feabded3f3b65b76388b4cea/swiftwind/costs/models.py#L207-L210,1.3104303
save list to file,"def save_as(self, new_filename):
        """"""
        Save our file with the name provided.

        Args:
            new_filename:  New name for the workbook file. String.

        Returns:
            Nothing.

        """"""

        xfile._save_file(self._filename, self._datasourceTree, new_filename)",Datasource.save_as,https://github.com/tableau/document-api-python/blob/9097a5b351622c5dd2653fa94624bc012316d8a4/tableaudocumentapi/datasource.py#L180-L192,1.3099654
save list to file,"def save_file(file):
    fd, filepath = tempfile.mkstemp(suffix=file.filename)
    file.save(filepath, overwrite=True)
    return filepath",save_file,https://github.com/hiposfer/o2g/blob/1165ba75a5eb64b3091e9b71ebd589507ae1ebf3/web/app.py#L46-L49,1.3089051
save list to file,"def save(self, file:PathLikeOrBinaryStream= 'data_save.pkl')->None:
        ""Save the `DataBunch` in `self.path/file`. `file` can be file-like (file or buffer)""
        if not getattr(self, 'label_list', False):
            warn(""Serializing the `DataBunch` only works when you created it using the data block API."")
            return
        try_save(self.label_list, self.path, file)",DataBunch.save,https://github.com/fastai/fastai/blob/9fb84a5cdefe5a766cdb792b8f5d8971737b7e67/fastai/basic_data.py#L149-L154,1.3078091
postgresql connection,"def connection(connection, without_connection_test):
    """"""Set MySQL/MariaDB connection""""""
    database.set_connection(connection=connection)

    if not without_connection_test:
        test_connection(connection)",connection,https://github.com/cebel/pyuniprot/blob/9462a6042c7c9295415a5eb589b77b27cb7c142b/src/pyuniprot/cli.py#L108-L113,1.1194177
postgresql connection,"def connect(self):
        self._db = redis.StrictRedis(host=self._host, port=self._port,
                                     db=self._db_num)",RedisStorage.connect,https://github.com/lexycore/django-rediser/blob/95b7be5ce1bafd963b1a316c99ef19547f301112/django_rediser/storage.py#L16-L18,1.1159172
postgresql connection,"def connect(self):
        httplib.HTTPSConnection.connect(self)
        self.sock.settimeout(self.timeout)",TimeoutHTTPSConnection.connect,https://github.com/blockstack/blockstack-core/blob/1dcfdd39b152d29ce13e736a6a1a0981401a0505/blockstack/lib/client.py#L85-L87,1.1157793
postgresql connection,"def connect(self):
        httplib.HTTPConnection.connect(self)
        self.sock.settimeout(self.timeout)",TimeoutHTTPConnection.connect,https://github.com/blockstack/blockstack-core/blob/1dcfdd39b152d29ce13e736a6a1a0981401a0505/blockstack/lib/client.py#L64-L66,1.1145313
postgresql connection,"def connection(self):
        if self._conn:
            return self._conn
        else:
            self._conn = self.engine.engine.connect()
            return self._conn",Session.connection,https://github.com/limodou/uliweb/blob/34472f25e4bc0b954a35346672f94e84ef18b076/uliweb/orm/__init__.py#L358-L363,1.1141864
postgresql connection,"def connect(self):
        if self._is_shutdown:
            return

        self._protocol_version = self._cluster.protocol_version
        self._set_new_connection(self._reconnect_internal())",ControlConnection.connect,https://github.com/datastax/python-driver/blob/30a80d0b798b1f45f8cb77163b1fa791f3e3ca29/cassandra/cluster.py#L2881-L2886,1.1141745
postgresql connection,"def reconnect(self):
        self._reconnect()
        self._db.autocommit = True
        self._reregister_types()",Connection.reconnect,https://github.com/stevepeak/tornpsql/blob/a109d0f95d6432d0e3b5eba1c9854357ba527f27/tornpsql/__init__.py#L325-L328,1.1135721
postgresql connection,"def connect(self, dsn):
        self.dsn = dsn
        self.session = models.connect(self.dsn)",DatabaseMigrator.connect,https://github.com/steder/goose/blob/e9290b39fdd7b3842052e40995ee833eaf8f15db/goose/core.py#L106-L108,1.1135573
postgresql connection,"def connect(self):
        self.close()
        self._connect = MySQLdb.connect(**self._db_options)
        self._connect.autocommit(True)",MySQLConnection.connect,https://github.com/whiteclover/dbpy/blob/3d9ce85f55cfb39cced22081e525f79581b26b3a/db/mysql/connection.py#L51-L54,1.1135225
postgresql connection,"def connect_to_database(host=None, port=None, connect=False, **kwargs):
    """"""
    Explicitly begins a database connection for the application
    (if this function is not called, a connection is created when
    it is first needed).  Takes arguments identical to
    pymongo.MongoClient.__init__
    
    @param host: the hostname to connect to
    @param port: the port to connect to
    @param connect:  if True, immediately begin connecting to MongoDB in the
        background; otherwise connect on the first operation
    """"""
    return CONNECTION.connect(host=host, port=port, connect=connect, **kwargs)",connect_to_database,https://github.com/zagaran/mongolia/blob/82c499345f0a8610c7289545e19f5f633e8a81c0/mongolia/mongo_connection.py#L95-L107,1.1135157
confusion matrix,"def confusion_matrix(self):
        """"""
        Returns the normalised confusion matrix
        """"""
        confusion_matrix = self.pixel_classification_sum.astype(np.float)
        confusion_matrix = np.divide(confusion_matrix.T, self.pixel_truth_sum.T).T

        return confusion_matrix * 100.0",SGMLBaseValidator.confusion_matrix,https://github.com/sentinel-hub/eo-learn/blob/b8c390b9f553c561612fe9eb64e720611633a035/ml_tools/eolearn/ml_tools/validator.py#L201-L208,1.1027566
confusion matrix,"def confusion_matrix(self):
        cm = ConfusionMatrix(self.num_categories)
        cm.update(self.predictions, self.labels)
        return cm",ClassificationResult.confusion_matrix,https://github.com/BerkeleyAutomation/autolab_core/blob/8f3813f6401972868cc5e3981ba1b4382d4418d5/autolab_core/learning_analysis.py#L120-L123,1.1007447
confusion matrix,"def confusion_matrix(self):
        """"""Confusion matrix plot
        """"""
        return plot.confusion_matrix(self.y_true, self.y_pred,
                                     self.target_names, ax=_gen_ax())",ClassifierEvaluator.confusion_matrix,https://github.com/edublancas/sklearn-evaluation/blob/79ee6e4dfe911b5a5a9b78a5caaed7c73eef6f39/sklearn_evaluation/evaluator.py#L85-L89,1.0981426
confusion matrix,"def confusion_matrix(self, data):
        """"""
        Returns a confusion matrix based of H2O's default prediction threshold for a dataset.

        :param data: metric for which the confusion matrix will be calculated.
        """"""
        return {model.model_id: model.confusion_matrix(data) for model in self.models}",H2OMultinomialGridSearch.confusion_matrix,https://github.com/h2oai/h2o-3/blob/dd62aaa1e7f680a8b16ee14bc66b0fb5195c2ad8/h2o-py/h2o/grid/metrics.py#L609-L615,1.0966144
confusion matrix,"def print_confusion_matrix(title, cm):
  print(""="" * 30)
  print(title)
  print(""="" * 30)
  print(cm)
  print(""="" * 30)
  print()",print_confusion_matrix,https://github.com/tensorflow/tensor2tensor/blob/272500b6efe353aeb638d2745ed56e519462ca31/tensor2tensor/utils/video/reward_confusion.py#L45-L51,1.0939802
confusion matrix,"def confusion_matrix(self, data):
        """"""
        Returns a confusion matrix based of H2O's default prediction threshold for a dataset.

        :param H2OFrame data: the frame with the prediction results for which the confusion matrix should be extracted.
        """"""
        assert_is_type(data, H2OFrame)
        j = h2o.api(""POST /3/Predictions/models/%s/frames/%s"" % (self._id, data.frame_id))
        return j[""model_metrics""][0][""cm""][""table""]",H2OMultinomialModel.confusion_matrix,https://github.com/h2oai/h2o-3/blob/dd62aaa1e7f680a8b16ee14bc66b0fb5195c2ad8/h2o-py/h2o/model/multinomial.py#L18-L26,1.0936639
confusion matrix,"def confusion_matrix(df, col_true=None, col_pred=None):
    """"""
    Compute confusion matrix of a predicted DataFrame.

    Note that this method will trigger the defined flow to execute.

    :param df: predicted data frame
    :type df: DataFrame
    :param col_true: column name of true label
    :type col_true: str
    :param col_true: column name of predicted label, 'prediction_result' by default.
    :type col_pred: str
    :return: Confusion matrix and mapping list for classes

    :Example:

    >>> predicted = model.predict(input_data)
    >>> cm, mapping = confusion_matrix(predicted, 'category')
    """"""
    if not col_pred:
        col_pred = get_field_name_by_role(df, FieldRole.PREDICTED_CLASS)
    return _run_cm_node(df, col_true, col_pred)[0]",confusion_matrix,https://github.com/aliyun/aliyun-odps-python-sdk/blob/4b0de18f5864386df6068f26f026e62f932c41e4/odps/ml/metrics/classification.py#L76-L97,1.0916692
confusion matrix,"def vector(self) -> typing.Tuple[typing.Tuple[float, float], typing.Tuple[float, float]]:
        """"""Return the vector property in relative coordinates.

        Vector will be a tuple of tuples ((y_start, x_start), (y_end, x_end)).""""""
        ...",Graphic.vector,https://github.com/nion-software/nionswift/blob/d43693eaf057b8683b9638e575000f055fede452/nion/typeshed/API_1_0.py#L212-L216,1.0911053
confusion matrix,"def confusion_matrix(actual=[], pred=[]):
    idx = {
        'ADJ' : 0,
        'ADV' : 1,
        'CONJ': 2,
        'DET' : 3,
        'NOUN': 4,
        'NUM' : 5,
        'OTH' : 6,
        'PART': 7,
        'PRON': 8,
        'SYM' : 9,
        'VERB': 10
    }

    matrix = [[0 for i in range(11)] for j in range(11)]

    for i in range(0, len(actual)):
       matrix[idx[actual[i]]][idx[pred[i]]] += 1
    
    return matrix",confusion_matrix,https://github.com/rjrequina/Cebuano-POS-Tagger/blob/fb1b46448c40b23ac8e8e373f073f1f8934b6dc6/eval/evaluator.py#L72-L92,1.0910771
confusion matrix,"def apply(self, node1, node2, edge_weight):
        x_dist = node1.x - node2.x
        y_dist = node1.y - node2.y
        factor = -self.coefficient * edge_weight

        node1.dx += x_dist * factor
        node1.dy += y_dist * factor

        node2.dx -= x_dist * factor
        node2.dy -= y_dist * factor",LinAttraction.apply,https://github.com/bosiakov/fa2l/blob/46b8494c2ad4429bbe1042b6e87b139dd7422c31/fa2l/force.py#L271-L280,1.0909916
set working directory,"def set_working_directory(self, path):
        r""""""
        Set the working directory to ``path``\ . All relative paths will
        be resolved relative to it.

        :type path: str
        :param path: the path of the directory
        :raises: :exc:`~exceptions.IOError`
        """"""
        _complain_ifclosed(self.closed)
        return self.fs.set_working_directory(path)",hdfs.set_working_directory,https://github.com/crs4/pydoop/blob/f375be2a06f9c67eaae3ce6f605195dbca143b2b/pydoop/hdfs/fs.py#L461-L471,1.2581097
set working directory,"def set_working_directory(working_directory):
    """"""Add working_directory to sys.paths.

    This allows dynamic loading of arbitrary python modules in cwd.

    Args:
        working_directory: string. path to add to sys.paths

    """"""
    logger.debug(""starting"")

    logger.debug(f""adding {working_directory} to sys.paths"")
    sys.path.append(working_directory)

    logger.debug(""done"")",set_working_directory,https://github.com/pypyr/pypyr-cli/blob/4003f999cd5eb030b4c7407317de728f5115a80f/pypyr/moduleloader.py#L51-L65,1.2562001
set working directory,"def _set_WorkingDir(self, path):
        """"""Sets the working directory
        """"""
        self._curr_working_dir = path
        try:
            mkdir(self.WorkingDir)
        except OSError:
            # Directory already exists
            pass",Mothur._set_WorkingDir,https://github.com/biocore/burrito-fillings/blob/02ab71a46119b40793bd56a4ae00ca15f6dc3329/bfillings/mothur.py#L391-L399,1.2537439
set working directory,"def set_working_dir(self, working_dir):
        """"""
        Sets the working directory for this hypervisor.

        :param working_dir: path to the working directory
        """"""

        # encase working_dir in quotes to protect spaces in the path
        yield from self.send('hypervisor working_dir ""{}""'.format(working_dir))
        self._working_dir = working_dir
        log.debug(""Working directory set to {}"".format(self._working_dir))",DynamipsHypervisor.set_working_dir,https://github.com/GNS3/gns3-server/blob/a221678448fb5d24e977ef562f81d56aacc89ab1/gns3server/compute/dynamips/dynamips_hypervisor.py#L152-L162,1.2513405
set working directory,"def set_working_directory(self, dirname):
        """"""Set current working directory.
        In the workingdirectory and explorer plugins.
        """"""
        if dirname:
            self.main.workingdirectory.chdir(dirname, refresh_explorer=True,
                                             refresh_console=False)",IPythonConsole.set_working_directory,https://github.com/spyder-ide/spyder/blob/f76836ce1b924bcc4efd3f74f2960d26a4e528e0/spyder/plugins/ipythonconsole/plugin.py#L577-L583,1.2490975
